dependency,label,project_language,count
rms,Modeling and simulation,R,6
SALib,Modeling and simulation,Python,6
splines,Modeling and simulation,R,6
TMB,Modeling and simulation,R,6
trimesh,Modeling and simulation,Python,6
cairosvg,Data analytics,Python,6
caret,Data analytics,R,6
collapse,Data analytics,R,6
core,Data analytics,C++,6
einops,Data analytics,Python,6
extraDistr,Data analytics,R,6
GGally,Data analytics,R,6
ggridges,Data analytics,R,6
imageio-ffmpeg,Data analytics,Python,6
lmerTest,Data analytics,R,6
mclust,Data analytics,R,6
mice,Data analytics,R,6
openai,Data analytics,Python,6
photutils,Data analytics,Python,6
posterior,Data analytics,R,6
pycairo,Data analytics,Python,6
rdflib,Data analytics,Python,6
rsvg,Data analytics,R,6
stars,Data analytics,R,6
SuperLearner,Data analytics,R,6
svglite,Data analytics,R,6
unyt,Data analytics,Python,6
visNetwork,Data analytics,R,6
hms,,R,6
lib,,C++,6
dash-core-components,UI,Python,5
dash-html-components,UI,Python,5
dash-table,UI,Python,5
janitor,UI,R,5
jupyterlite-pyodide-kernel,UI,Python,5
miniUI,UI,R,5
mkdocs-git-revision-date-localized-plugin,UI,Python,5
mkdocs-glightbox,UI,Python,5
shinycssloaders,UI,R,5
solara,UI,Python,5
solara-server,UI,Python,5
solara-UI,UI,Python,5
flake8-pyproject,Software analytics,Python,5
lintr,Software analytics,R,5
memory-profiler,Software analytics,Python,5
lazy_loader,Software,Python,5
tbb,Software,Python,5
altgraph,Software,Python,5
bit,Software,R,5
bitstring,Software,Python,5
bump-my-version,Software,Python,5
